<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;1;28/04/21;180200;3581.9900000;3582.7700000;3581.6800000;3582.6600000;147471098
IMOEX;1;28/04/21;180300;3582.6900000;3582.7500000;3582.4800000;3582.4800000;146486034
IMOEX;1;28/04/21;180400;3582.4900000;3584.3000000;3582.2400000;3584.3000000;278731172
IMOEX;1;28/04/21;180500;3584.2400000;3584.5100000;3582.5200000;3582.7100000;218480923
IMOEX;1;28/04/21;180600;3582.8900000;3582.8900000;3582.3500000;3582.8000000;90195500
IMOEX;1;28/04/21;180700;3582.6400000;3582.6400000;3581.9600000;3582.1200000;176618479
IMOEX;1;28/04/21;180800;3582.3800000;3583.0500000;3582.3800000;3582.7000000;185143022
IMOEX;1;28/04/21;180900;3582.4800000;3582.8500000;3582.4100000;3582.7700000;97611159
IMOEX;1;28/04/21;181000;3582.8100000;3582.8100000;3582.1500000;3582.3800000;129312315
IMOEX;1;28/04/21;181100;3582.8500000;3583.2900000;3582.5600000;3582.7300000;182022146
IMOEX;1;28/04/21;181200;3583.4400000;3583.5700000;3582.6700000;3583.5700000;403296744
IMOEX;1;28/04/21;181300;3583.6900000;3583.6900000;3582.8000000;3583.0900000;217675620
IMOEX;1;28/04/21;181400;3582.8700000;3583.2300000;3582.6700000;3582.8000000;126149471
IMOEX;1;28/04/21;181500;3582.8300000;3582.8300000;3582.1300000;3582.5000000;164465552
IMOEX;1;28/04/21;181600;3582.3300000;3582.4700000;3582.1000000;3582.2700000;134931951
IMOEX;1;28/04/21;181700;3582.1700000;3582.2500000;3581.7100000;3582.0600000;137071204
IMOEX;1;28/04/21;181800;3582.0000000;3582.3600000;3581.6300000;3582.0200000;162001725
IMOEX;1;28/04/21;181900;3581.9900000;3581.9900000;3581.4200000;3581.4200000;123036725
IMOEX;1;28/04/21;182000;3581.2900000;3581.6500000;3580.9600000;3581.4400000;129832817
IMOEX;1;28/04/21;182100;3581.5100000;3582.4600000;3581.5100000;3582.4400000;163219510
IMOEX;1;28/04/21;182200;3582.6100000;3582.6100000;3582.2400000;3582.4800000;136613865
IMOEX;1;28/04/21;182300;3582.5300000;3583.1100000;3581.9800000;3581.9800000;176166828
IMOEX;1;28/04/21;182400;3581.9000000;3581.9200000;3581.0800000;3581.3400000;77692603
IMOEX;1;28/04/21;182500;3581.6000000;3581.6000000;3580.7400000;3580.7600000;140721811
IMOEX;1;28/04/21;182600;3581.4000000;3581.7900000;3581.2200000;3581.4500000;115076014
IMOEX;1;28/04/21;182700;3580.8800000;3581.2800000;3580.8800000;3581.1900000;115440394
IMOEX;1;28/04/21;182800;3580.9200000;3581.1900000;3580.2500000;3580.7400000;229428117
IMOEX;1;28/04/21;182900;3580.8400000;3581.6400000;3580.6900000;3580.8600000;146703375
IMOEX;1;28/04/21;183000;3580.5700000;3581.3600000;3580.5700000;3580.7700000;160788499
IMOEX;1;28/04/21;183100;3580.9200000;3582.2600000;3580.8100000;3582.2600000;191937880
IMOEX;1;28/04/21;183200;3581.9300000;3582.7200000;3581.9300000;3582.3500000;148379249
IMOEX;1;28/04/21;183300;3582.5400000;3584.0100000;3582.4100000;3584.0100000;132557708
IMOEX;1;28/04/21;183400;3583.4800000;3584.1400000;3583.4800000;3583.7900000;139717333
IMOEX;1;28/04/21;183500;3584.1100000;3584.2100000;3583.4600000;3583.5700000;110545710
IMOEX;1;28/04/21;183600;3583.5100000;3584.1600000;3582.6600000;3582.8800000;420320410
IMOEX;1;28/04/21;183700;3582.8500000;3583.3800000;3582.5500000;3582.5500000;261456821
IMOEX;1;28/04/21;183800;3582.6100000;3583.2600000;3582.3900000;3582.6700000;302134717
IMOEX;1;28/04/21;183900;3582.9600000;3584.3200000;3582.9600000;3583.8300000;196896936
IMOEX;1;28/04/21;184000;3583.8900000;3584.2500000;3582.5700000;3584.0100000;194002606
IMOEX;1;28/04/21;184100;3584.0100000;3584.0100000;3584.0100000;3584.0100000;0
IMOEX;1;28/04/21;185100;3578.1200000;3578.1200000;3578.1200000;3578.1200000;3149335155
IMOEX;1;29/04/21;100100;3610.9800000;3613.4200000;3610.4600000;3611.8800000;1200459219
IMOEX;1;29/04/21;100200;3610.3500000;3611.4800000;3610.1400000;3611.3000000;813115993
IMOEX;1;29/04/21;100300;3612.0400000;3612.3000000;3609.5500000;3610.0000000;612972043
IMOEX;1;29/04/21;100400;3609.5900000;3609.6000000;3607.0200000;3608.9000000;640294548
IMOEX;1;29/04/21;100500;3608.3200000;3609.9200000;3608.2900000;3609.3800000;457662596
IMOEX;1;29/04/21;100600;3609.3300000;3611.3800000;3607.8300000;3611.3800000;372782861
IMOEX;1;29/04/21;100700;3612.1200000;3613.7800000;3611.9400000;3612.3400000;774354998
IMOEX;1;29/04/21;100800;3613.2300000;3616.3500000;3613.2300000;3615.1300000;904220802
IMOEX;1;29/04/21;100900;3615.3700000;3616.0800000;3614.0800000;3615.3000000;544739273
IMOEX;1;29/04/21;101000;3613.9700000;3613.9700000;3611.3100000;3612.3100000;495140283
IMOEX;1;29/04/21;101100;3611.7700000;3612.3200000;3609.7200000;3610.4500000;536404349
IMOEX;1;29/04/21;101200;3610.2900000;3610.9000000;3609.1600000;3610.7100000;238760269
IMOEX;1;29/04/21;101300;3609.9100000;3610.1000000;3606.8300000;3609.2300000;448730596
IMOEX;1;29/04/21;101400;3609.5200000;3609.5900000;3608.3200000;3608.5200000;525238099
IMOEX;1;29/04/21;101500;3608.9700000;3609.7800000;3606.6800000;3606.6800000;371330957
IMOEX;1;29/04/21;101600;3605.6000000;3607.8900000;3604.6600000;3607.7700000;455069514
IMOEX;1;29/04/21;101700;3607.6800000;3607.7200000;3605.8000000;3607.1600000;433135254
IMOEX;1;29/04/21;101800;3606.7600000;3608.3400000;3605.4700000;3607.8300000;245159704
IMOEX;1;29/04/21;101900;3607.7300000;3607.8900000;3605.5500000;3605.7600000;287822287
IMOEX;1;29/04/21;102000;3605.4400000;3606.6000000;3605.2100000;3605.5100000;374836439
IMOEX;1;29/04/21;102100;3606.4100000;3606.5200000;3604.6400000;3604.7200000;304382938
IMOEX;1;29/04/21;102200;3604.5700000;3604.7200000;3603.0700000;3603.5100000;463938464
IMOEX;1;29/04/21;102300;3603.8500000;3604.0000000;3602.8700000;3603.5800000;275156838
IMOEX;1;29/04/21;102400;3603.0800000;3603.0800000;3600.1600000;3600.1600000;522586321
IMOEX;1;29/04/21;102500;3600.6700000;3602.6100000;3599.4900000;3602.6100000;531631020
