<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KMAZ;1;30/04/21;101000;70.8000000;71.0000000;70.8000000;70.8000000;60
KMAZ;1;30/04/21;101100;70.8000000;71.1000000;70.7000000;71.1000000;370
KMAZ;1;30/04/21;101200;71.0000000;71.0000000;70.8000000;71.0000000;150
KMAZ;1;30/04/21;101300;70.7000000;71.1000000;70.7000000;70.8000000;50
KMAZ;1;30/04/21;101400;70.8000000;71.1000000;70.7000000;70.8000000;90
KMAZ;1;30/04/21;101500;71.0000000;71.1000000;70.7000000;71.1000000;110
KMAZ;1;30/04/21;101600;71.1000000;71.1000000;70.8000000;71.1000000;360
KMAZ;1;30/04/21;101700;70.8000000;71.1000000;70.7000000;70.8000000;390
KMAZ;1;30/04/21;101800;71.1000000;71.1000000;70.6000000;70.6000000;130
KMAZ;1;30/04/21;101900;71.1000000;71.1000000;70.6000000;70.6000000;100
KMAZ;1;30/04/21;102000;70.9000000;71.0000000;70.7000000;71.0000000;70
KMAZ;1;30/04/21;102100;70.6000000;70.9000000;70.6000000;70.9000000;100
KMAZ;1;30/04/21;102200;71.0000000;71.0000000;70.6000000;71.0000000;130
KMAZ;1;30/04/21;102300;70.7000000;71.0000000;70.7000000;70.7000000;400
KMAZ;1;30/04/21;102400;70.9000000;70.9000000;70.9000000;70.9000000;20
KMAZ;1;30/04/21;102500;70.9000000;70.9000000;70.5000000;70.5000000;60
KMAZ;1;30/04/21;102700;70.7000000;70.7000000;70.7000000;70.7000000;10
KMAZ;1;30/04/21;102800;70.7000000;70.7000000;70.7000000;70.7000000;50
KMAZ;1;30/04/21;102900;70.5000000;70.7000000;70.5000000;70.7000000;50
KMAZ;1;30/04/21;103000;70.7000000;71.0000000;70.7000000;71.0000000;430
KMAZ;1;30/04/21;103100;70.8000000;70.9000000;70.7000000;70.9000000;420
KMAZ;1;30/04/21;103200;70.9000000;70.9000000;70.7000000;70.7000000;40
KMAZ;1;30/04/21;103500;70.8000000;70.9000000;70.7000000;70.7000000;150
KMAZ;1;30/04/21;103600;70.7000000;71.0000000;70.7000000;70.8000000;140
KMAZ;1;30/04/21;103700;70.8000000;71.0000000;70.8000000;70.8000000;40
KMAZ;1;30/04/21;103800;70.8000000;71.0000000;70.8000000;71.0000000;30
KMAZ;1;30/04/21;103900;70.8000000;71.0000000;70.8000000;71.0000000;180
KMAZ;1;30/04/21;104000;70.8000000;71.0000000;70.8000000;71.0000000;420
KMAZ;1;30/04/21;104100;71.0000000;71.0000000;70.8000000;71.0000000;70
KMAZ;1;30/04/21;104200;70.8000000;71.0000000;70.8000000;71.0000000;190
KMAZ;1;30/04/21;104300;71.0000000;71.0000000;70.8000000;71.0000000;60
KMAZ;1;30/04/21;104400;70.8000000;71.0000000;70.8000000;70.8000000;220
KMAZ;1;30/04/21;104500;70.8000000;71.0000000;70.8000000;71.0000000;170
KMAZ;1;30/04/21;104600;70.8000000;71.0000000;70.8000000;71.0000000;40
KMAZ;1;30/04/21;104700;71.0000000;71.1000000;70.8000000;71.1000000;460
KMAZ;1;30/04/21;104800;70.9000000;71.1000000;70.9000000;70.9000000;110
KMAZ;1;30/04/21;104900;71.1000000;71.1000000;70.9000000;71.1000000;70
KMAZ;1;30/04/21;105000;71.1000000;71.1000000;70.9000000;71.1000000;100
KMAZ;1;30/04/21;105100;71.1000000;71.2000000;70.9000000;71.2000000;710
KMAZ;1;30/04/21;105200;71.0000000;71.2000000;71.0000000;71.0000000;160
KMAZ;1;30/04/21;105300;71.2000000;71.2000000;71.0000000;71.0000000;180
KMAZ;1;30/04/21;105400;71.2000000;71.2000000;71.0000000;71.2000000;230
KMAZ;1;30/04/21;105500;71.0000000;71.1000000;71.0000000;71.1000000;100
KMAZ;1;30/04/21;105600;71.1000000;71.1000000;71.0000000;71.0000000;140
KMAZ;1;30/04/21;105700;71.1000000;71.1000000;71.0000000;71.0000000;60
KMAZ;1;30/04/21;105800;71.1000000;71.1000000;70.8000000;71.1000000;1900
KMAZ;1;30/04/21;105900;71.0000000;71.1000000;70.8000000;70.8000000;700
KMAZ;1;30/04/21;110000;70.8000000;70.9000000;70.8000000;70.8000000;70
KMAZ;1;30/04/21;110100;70.9000000;70.9000000;70.8000000;70.9000000;70
KMAZ;1;30/04/21;110200;70.9000000;71.0000000;70.8000000;71.0000000;90
KMAZ;1;30/04/21;110300;70.8000000;71.0000000;70.8000000;71.0000000;130
KMAZ;1;30/04/21;110400;70.8000000;70.8000000;70.8000000;70.8000000;10
KMAZ;1;30/04/21;110500;70.8000000;70.9000000;70.8000000;70.9000000;30
KMAZ;1;30/04/21;110600;70.8000000;70.8000000;70.8000000;70.8000000;20
KMAZ;1;30/04/21;110700;70.9000000;70.9000000;70.8000000;70.8000000;50
KMAZ;1;30/04/21;110800;70.9000000;70.9000000;70.9000000;70.9000000;20
KMAZ;1;30/04/21;110900;71.0000000;71.0000000;70.8000000;70.8000000;20
KMAZ;1;30/04/21;111000;70.8000000;70.8000000;70.8000000;70.8000000;10
KMAZ;1;30/04/21;111100;70.8000000;70.8000000;70.8000000;70.8000000;40
KMAZ;1;30/04/21;111200;70.9000000;70.9000000;70.8000000;70.8000000;40
KMAZ;1;30/04/21;111300;70.9000000;71.0000000;70.9000000;71.0000000;260
KMAZ;1;30/04/21;111400;71.0000000;71.0000000;70.8000000;70.8000000;290
KMAZ;1;30/04/21;111500;71.0000000;71.0000000;71.0000000;71.0000000;20
KMAZ;1;30/04/21;111600;71.0000000;71.0000000;70.7000000;71.0000000;70
KMAZ;1;30/04/21;111700;71.0000000;71.0000000;71.0000000;71.0000000;30
KMAZ;1;30/04/21;111800;70.7000000;71.0000000;70.7000000;71.0000000;50
KMAZ;1;30/04/21;111900;71.0000000;71.0000000;70.9000000;70.9000000;20
KMAZ;1;30/04/21;112000;70.9000000;71.0000000;70.9000000;71.0000000;70
KMAZ;1;30/04/21;112100;70.9000000;71.0000000;70.9000000;71.0000000;140
KMAZ;1;30/04/21;112300;70.7000000;71.0000000;70.7000000;71.0000000;30
KMAZ;1;30/04/21;112400;71.0000000;71.0000000;70.7000000;70.7000000;350
KMAZ;1;30/04/21;112500;70.7000000;70.7000000;70.7000000;70.7000000;30
KMAZ;1;30/04/21;112600;70.9000000;70.9000000;70.7000000;70.7000000;320
KMAZ;1;30/04/21;112700;70.8000000;70.8000000;70.7000000;70.7000000;20
KMAZ;1;30/04/21;112800;70.8000000;70.8000000;70.7000000;70.7000000;60
KMAZ;1;30/04/21;112900;70.8000000;71.0000000;70.7000000;70.7000000;670
KMAZ;1;30/04/21;113000;70.9000000;70.9000000;70.7000000;70.7000000;330
KMAZ;1;30/04/21;113100;70.9000000;70.9000000;70.6000000;70.9000000;340
KMAZ;1;30/04/21;113400;70.7000000;70.9000000;70.7000000;70.7000000;60
KMAZ;1;30/04/21;113500;70.9000000;70.9000000;70.9000000;70.9000000;190
KMAZ;1;30/04/21;113600;70.7000000;70.9000000;70.7000000;70.9000000;120
KMAZ;1;30/04/21;113700;70.9000000;70.9000000;70.7000000;70.7000000;80
KMAZ;1;30/04/21;113900;70.8000000;70.9000000;70.8000000;70.9000000;100
KMAZ;1;30/04/21;114000;70.8000000;70.8000000;70.8000000;70.8000000;200
