<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NLMK;1;27/04/21;154900;270.3000000
NLMK;1;27/04/21;155000;270.4400000
NLMK;1;27/04/21;155100;270.4200000
NLMK;1;27/04/21;155200;270.2400000
NLMK;1;27/04/21;155300;270.2000000
NLMK;1;27/04/21;155400;270.4400000
NLMK;1;27/04/21;155500;270.4200000
NLMK;1;27/04/21;155600;270.5400000
NLMK;1;27/04/21;155700;270.6600000
NLMK;1;27/04/21;155800;270.7800000
NLMK;1;27/04/21;155900;270.6400000
NLMK;1;27/04/21;160000;270.5600000
NLMK;1;27/04/21;160100;270.4400000
NLMK;1;27/04/21;160200;270.7400000
NLMK;1;27/04/21;160300;270.7000000
NLMK;1;27/04/21;160400;270.8000000
NLMK;1;27/04/21;160500;270.9800000
NLMK;1;27/04/21;160600;270.9400000
NLMK;1;27/04/21;160700;270.9400000
NLMK;1;27/04/21;160800;270.7600000
NLMK;1;27/04/21;160900;270.8200000
NLMK;1;27/04/21;161000;270.7000000
NLMK;1;27/04/21;161100;270.5200000
NLMK;1;27/04/21;161200;270.3000000
NLMK;1;27/04/21;161300;270.1600000
NLMK;1;27/04/21;161400;269.9600000
NLMK;1;27/04/21;161500;269.8200000
NLMK;1;27/04/21;161600;269.6800000
NLMK;1;27/04/21;161700;269.7200000
NLMK;1;27/04/21;161800;269.6600000
NLMK;1;27/04/21;161900;269.7200000
NLMK;1;27/04/21;162000;269.4200000
NLMK;1;27/04/21;162100;268.8000000
NLMK;1;27/04/21;162200;268.5600000
NLMK;1;27/04/21;162300;268.8000000
NLMK;1;27/04/21;162400;269.0000000
NLMK;1;27/04/21;162500;269.2200000
NLMK;1;27/04/21;162600;269.3200000
NLMK;1;27/04/21;162700;269.5600000
NLMK;1;27/04/21;162800;269.2400000
NLMK;1;27/04/21;162900;269.4600000
NLMK;1;27/04/21;163000;269.1800000
NLMK;1;27/04/21;163100;269.4400000
NLMK;1;27/04/21;163200;269.7000000
NLMK;1;27/04/21;163300;269.8000000
NLMK;1;27/04/21;163400;270.0000000
NLMK;1;27/04/21;163500;270.0000000
NLMK;1;27/04/21;163600;270.0000000
NLMK;1;27/04/21;163700;269.8400000
NLMK;1;27/04/21;163800;269.9600000
NLMK;1;27/04/21;163900;269.9800000
NLMK;1;27/04/21;164000;270.2200000
NLMK;1;27/04/21;164100;270.3200000
NLMK;1;27/04/21;164200;270.2600000
NLMK;1;27/04/21;164300;270.0000000
NLMK;1;27/04/21;164400;269.9600000
NLMK;1;27/04/21;164500;270.1000000
NLMK;1;27/04/21;164600;269.9200000
NLMK;1;27/04/21;164700;270.0400000
NLMK;1;27/04/21;164800;270.1200000
NLMK;1;27/04/21;164900;270.1800000
NLMK;1;27/04/21;165000;270.0800000
NLMK;1;27/04/21;165100;270.1000000
NLMK;1;27/04/21;165200;270.2200000
NLMK;1;27/04/21;165300;270.1400000
NLMK;1;27/04/21;165400;270.0400000
NLMK;1;27/04/21;165500;270.0400000
NLMK;1;27/04/21;165600;270.1000000
NLMK;1;27/04/21;165700;270.1200000
NLMK;1;27/04/21;165800;269.7400000
NLMK;1;27/04/21;165900;269.8400000
NLMK;1;27/04/21;170000;269.7400000
NLMK;1;27/04/21;170100;269.7600000
NLMK;1;27/04/21;170200;269.7200000
NLMK;1;27/04/21;170300;269.7000000
NLMK;1;27/04/21;170400;269.7400000
NLMK;1;27/04/21;170500;269.7600000
NLMK;1;27/04/21;170600;269.6400000
NLMK;1;27/04/21;170700;269.7000000
NLMK;1;27/04/21;170800;269.7600000
NLMK;1;27/04/21;170900;269.9800000
NLMK;1;27/04/21;171000;269.8400000
NLMK;1;27/04/21;171100;269.8400000
NLMK;1;27/04/21;171200;270.0400000
NLMK;1;27/04/21;171300;270.3000000
NLMK;1;27/04/21;171400;270.3000000
NLMK;1;27/04/21;171500;270.7400000
NLMK;1;27/04/21;171600;270.6200000
NLMK;1;27/04/21;171700;271.0200000
NLMK;1;27/04/21;171800;270.9000000
NLMK;1;27/04/21;171900;270.9800000
NLMK;1;27/04/21;172000;271.0000000
NLMK;1;27/04/21;172100;271.0800000
NLMK;1;27/04/21;172200;271.0800000
NLMK;1;27/04/21;172300;271.1800000
NLMK;1;27/04/21;172400;271.2600000
NLMK;1;27/04/21;172500;271.5000000
NLMK;1;27/04/21;172600;271.2600000
NLMK;1;27/04/21;172700;271.2400000
NLMK;1;27/04/21;172800;271.0600000
NLMK;1;27/04/21;172900;271.2400000
NLMK;1;27/04/21;173000;271.5000000
NLMK;1;27/04/21;173100;271.4800000
NLMK;1;27/04/21;173200;271.4400000
NLMK;1;27/04/21;173300;271.5200000
NLMK;1;27/04/21;173400;271.4000000
NLMK;1;27/04/21;173500;271.7800000
NLMK;1;27/04/21;173600;272.1400000
NLMK;1;27/04/21;173700;272.1600000
NLMK;1;27/04/21;173800;272.2000000
NLMK;1;27/04/21;173900;272.0600000
NLMK;1;27/04/21;174000;271.8000000
NLMK;1;27/04/21;174100;271.6200000
NLMK;1;27/04/21;174200;271.5600000
NLMK;1;27/04/21;174300;271.3800000
NLMK;1;27/04/21;174400;271.4000000
NLMK;1;27/04/21;174500;271.3200000
NLMK;1;27/04/21;174600;271.5400000
NLMK;1;27/04/21;174700;271.8400000
NLMK;1;27/04/21;174800;272.0000000
NLMK;1;27/04/21;174900;271.8200000
NLMK;1;27/04/21;175000;271.9200000
NLMK;1;27/04/21;175100;271.5600000
NLMK;1;27/04/21;175200;271.3000000
NLMK;1;27/04/21;175300;271.5000000
NLMK;1;27/04/21;175400;271.9400000
NLMK;1;27/04/21;175500;272.0400000
NLMK;1;27/04/21;175600;272.1400000
NLMK;1;27/04/21;175700;272.0000000
NLMK;1;27/04/21;175800;272.0000000
NLMK;1;27/04/21;175900;272.0400000
NLMK;1;27/04/21;180000;272.0400000
NLMK;1;27/04/21;180100;272.0600000
NLMK;1;27/04/21;180200;272.0600000
NLMK;1;27/04/21;180300;272.0000000
NLMK;1;27/04/21;180400;272.0800000
NLMK;1;27/04/21;180500;272.0800000
NLMK;1;27/04/21;180600;271.9800000
NLMK;1;27/04/21;180700;272.0400000
NLMK;1;27/04/21;180800;271.7600000
NLMK;1;27/04/21;180900;271.7600000
NLMK;1;27/04/21;181000;271.6400000
NLMK;1;27/04/21;181100;271.7800000
NLMK;1;27/04/21;181200;272.0200000
NLMK;1;27/04/21;181300;271.9800000
NLMK;1;27/04/21;181400;271.8200000
NLMK;1;27/04/21;181500;271.2400000
